	City	Borough	Neighborhood	Latitude	Longitude
0	Beijing	Changping	Chengnan	40.299030349999995	116.63732142568139
1	Beijing	Changping	Huilongguan	40.069525	116.329755
2	Beijing	Changping	Shigezhuang	39.9319432	116.5576797
3	Beijing	Changping	Tiantongyuannan	40.0651231	116.4065063
4	Beijing	Changping	Huoying	40.0690544	116.3545724
5	Beijing	Changping	Machikou	40.1814028	116.162141
6	Beijing	Changping	Shahe	40.1479875	116.2844001
7	Beijing	Changping	Dongxiaokou	40.0570794	116.4021258
8	Beijing	Changping	Yangfang	40.1373425	116.1331859
9	Beijing	Changping	Xiaotangshan	40.1743049	116.393762
10	Beijing	Changping	Nanshao	40.2065406	116.2801667
11	Beijing	Changping	Cuicun	40.2191667	116.3469612
12	Beijing	Changping	Baishan	40.1905501	116.3123252
13	Beijing	Changping	Beiqijia	40.1164699	116.4183154
14	Beijing	Changping	Xingshou	40.213031	116.4031119
15	Beijing	Chaoyang	Jianwai	39.90363189999999	116.44774296721945
16	Beijing	Chaoyang	Chaowai	39.9206783	116.4314696
17	Beijing	Chaoyang	Hujialou	39.9219807	116.4557482
18	Beijing	Chaoyang	Sanlitun	39.9361049	116.4488126
19	Beijing	Chaoyang	Zuojiazhuang	39.9563024	116.4388993
20	Beijing	Chaoyang	Xiangheyuan	39.9581962	116.4481372
21	Beijing	Chaoyang	Anzhen	39.968379799999994	116.4003843246187
22	Beijing	Chaoyang	Yayuncun	39.9924549	116.4003691
23	Beijing	Chaoyang	Xiaoguan	39.9074503	116.447588
24	Beijing	Chaoyang	Jiuxianqiao	39.9670762	116.4836705
25	Beijing	Chaoyang	Maizidian	39.9498952	116.4622474
26	Beijing	Chaoyang	Tuanjiehu	39.9322384	116.4558742
27	Beijing	Chaoyang	Liulitun	39.9269016	116.480437
28	Beijing	Chaoyang	Balizhuang	39.921543	116.4883056
29	Beijing	Chaoyang	Shuangjing	39.8920933	116.4552314
30	Beijing	Chaoyang	Jinsong	39.8830661	116.4551162
31	Beijing	Chaoyang	Panjiayuan	39.8748619	116.4549705
32	Beijing	Chaoyang	Fatou	39.859574	116.5057156
33	Beijing	Chaoyang	Datun	40.0013931	116.4061785
34	Beijing	Chaoyang	Wangjing	39.9918632	116.4600088
35	Beijing	Chaoyang	Nanmofang	39.882093	116.4718437
36	Beijing	Chaoyang	Gaobeidian	39.9107406	116.5155232
37	Beijing	Chaoyang	Jiangtai	39.9694941	116.4840447
38	Beijing	Chaoyang	Taiyanggong	39.9724051	116.4358754
39	Beijing	Chaoyang	Xiaohongmen	39.8266058	116.4697763
40	Beijing	Chaoyang	Shibalidian	39.8471573	116.4786586897977
41	Beijing	Chaoyang	Pingfang	39.9357961	116.5245872
42	Beijing	Chaoyang	Laiguangying	40.0304888	116.4273917
43	Beijing	Chaoyang	Changying	39.922042	116.5883355
44	Beijing	Chaoyang	Sanjianfang	39.9074457	116.5491425
45	Beijing	Chaoyang	Guanzhuang	39.9087825	116.5900807
46	Beijing	Chaoyang	Jinzhan	40.0022512	116.5629353
47	Beijing	Chaoyang	Sunhe	40.0400457	116.5176518
48	Beijing	Chaoyang	Cuigezhuang	39.9993754	116.5093183
49	Beijing	Chaoyang	Dongba	39.9628474	116.5495984
50	Beijing	Chaoyang	Heizhuanghu	39.8522863	116.5910987
51	Beijing	Chaoyang	Dougezhuang	39.888883	116.5505642
52	Beijing	Chaoyang	Wangsiying	39.874034	116.5248074
53	Beijing	Daxing	Xingfeng	39.765469	116.3289965
54	Beijing	Daxing	Linxiao Road	39.7121979	116.3278513
55	Beijing	Daxing	Qingyuan	39.73417565	116.29786438690195
56	Beijing	Daxing	Guanyinsi	39.72518865	116.34268337584456
57	Beijing	Daxing	Tiangongyuan	39.6689922	116.3139399
58	Beijing	Daxing	Yizhuang	39.7988549	116.4758632
59	Beijing	Daxing	Huangcun	39.7195702	116.3253994
60	Beijing	Daxing	Jiugong	39.802943	116.4397833
61	Beijing	Daxing	Xihongmen	39.7892734	116.3445072
62	Beijing	Daxing	Yinghai	39.7554597	116.4459781
63	Beijing	Daxing	Qingyundian	39.6805185	116.4982869
64	Beijing	Daxing	Caiyu	39.6505592	116.661496
65	Beijing	Daxing	Anding	39.616118	116.484269
66	Beijing	Daxing	Lixian	39.5554715	116.4292566
67	Beijing	Daxing	Yufa	39.5099721	116.3096853
68	Beijing	Daxing	Panggezhuang	39.6340576	116.3172347
69	Beijing	Daxing	Beizangcun	39.6850406	116.296668
70	Beijing	Daxing	Weishanzhuang	39.6323302	116.4111113
71	Beijing	Dongcheng	Jingshan	39.9270057	116.3920881
72	Beijing	Dongcheng	Donghuamen	39.91359365	116.39520574119106
73	Beijing	Dongcheng	Jiaodaokou	39.9378071	116.4023432
74	Beijing	Dongcheng	Andingmen	39.9477287	116.402067
75	Beijing	Dongcheng	Beixinqiao	39.9393835	116.4108701
76	Beijing	Dongcheng	Chaoyangmen	39.9230647	116.4279504
77	Beijing	Dongcheng	Jianguomen	39.9071594	116.4292321
78	Beijing	Dongcheng	Dongzhimen	39.9398861	116.4281041
79	Beijing	Dongcheng	Hepingli	39.9578047	116.4122948
80	Beijing	Dongcheng	Qianmen	39.8987591	116.3916409
81	Beijing	Dongcheng	Donghuashi	39.8973572	116.4292082
82	Beijing	Dongcheng	Longtan	39.8766804	116.43513008166876
83	Beijing	Dongcheng	Tiyuguan	39.884634	116.4175365
84	Beijing	Dongcheng	Tiantan	39.87986825	116.40294984511002
85	Beijing	Dongcheng	Yongdingmenwai	39.8649435	116.3931466
86	Beijing	Fangshan	Chengguan	39.7046445	115.9836445
87	Beijing	Fangshan	Xingcheng	39.7122328	116.0551355
88	Beijing	Fangshan	Xilu	39.8687316	116.2585251
89	Beijing	Fangshan	Liangxiang	39.7284674	116.1774398
90	Beijing	Fangshan	Zhoukoudian	39.6890627	115.9238364
91	Beijing	Fangshan	Liulihe	39.5981905	116.0220704
92	Beijing	Fangshan	Yancun	39.7150332	116.0861983
93	Beijing	Fangshan	Doudian	39.6502855	116.0618269
94	Beijing	Fangshan	Changyang	39.7624413	116.2065053
95	Beijing	Fangshan	Hebei	40.5660714	116.8209643
96	Beijing	Fangshan	Dashiwo	39.5520075	115.8198264
97	Beijing	Fangshan	Zhangfang	39.5709464	115.7077393
98	Beijing	Fangshan	Shidu	39.6405352	115.5839328
99	Beijing	Fangshan	Hancunhe	39.6027537	115.9569329
100	Beijing	Fangshan	Xiayunling	39.7281907	115.7409748
101	Beijing	Fangshan	Nanjiao	39.7673457	115.8362979
102	Beijing	Fengtai	Fengtai	39.8518236	116.28029538578156
103	Beijing	Fengtai	Youanmen	39.8613687	116.35942690735766
104	Beijing	Fengtai	Taipingqiao	39.8760504	116.3117891
105	Beijing	Fengtai	Xiluoyuan	39.8545374	116.3795806609331
106	Beijing	Fengtai	Dahongmen	39.8440129	116.3922626
107	Beijing	Fengtai	Nanyuan	39.7933065	116.3732966
108	Beijing	Fengtai	Lugouqiao	39.8636968	116.3030676
109	Beijing	Fengtai	Changxindian	39.8361823	116.2029594
110	Beijing	Fengtai	Majiapu	39.8516387	116.365093
111	Beijing	Fengtai	Heyi	39.813652	116.3959362
112	Beijing	Fengtai	Changxindian	39.8361823	116.2029594
113	Beijing	Fengtai	Wangzuo	39.7999259	116.1499023
114	Beijing	Fengtai	Fangzhuang	39.8646354	116.4339348
115	Beijing	Fengtai	Wanpingcheng	39.8390794	116.2315862
116	Beijing	Fengtai	Huaxiang	39.8293726	116.3079715
117	Beijing	Fengtai	Nanyuan	39.7933065	116.3732966
118	Beijing	Haidian	Wanshou Road	39.9011887	116.2891023
119	Beijing	Haidian	Yongding Road	39.8987846	116.2586986
120	Beijing	Haidian	Yangfangdian	39.9014193	116.3150794
121	Beijing	Haidian	Ganjiakou	39.9216791	116.3288857
122	Beijing	Haidian	Balizhuang	39.9228159	116.2903025
123	Beijing	Haidian	Zizhuyuan	39.9411297	116.31231524409213
124	Beijing	Haidian	Beitaipingzhuang	39.9751783	116.3636769
125	Beijing	Haidian	Xueyuan Road	39.983967	116.3474887
126	Beijing	Haidian	Zhongguancun	39.9826335	116.3104743
127	Beijing	Haidian	Haidian	39.9843629	116.28913472256012
128	Beijing	Haidian	Qinghuayuan	39.9811384	116.3331629
129	Beijing	Haidian	Xiangshan	39.9917731	116.2146958
130	Beijing	Haidian	Qinghe	40.0295033	116.3421251
131	Beijing	Haidian	Huayuan Road	39.9691776	116.3594087
132	Beijing	Haidian	Xisanqi	40.056784	116.3171401
133	Beijing	Haidian	Malianwa	40.0315401	116.2658838
134	Beijing	Haidian	Tiancun Road	39.930052	116.2395941
135	Beijing	Haidian	Shangdi	40.0317623	116.314068
136	Beijing	Haidian	Wanliu	39.9893129	116.2894284
137	Beijing	Haidian	Dongsheng	39.9939762	116.3284412
138	Beijing	Haidian	Wenquan	40.0478051	116.174254
139	Beijing	Haidian	Sijiqing	39.9529251	116.2687447
140	Beijing	Haidian	Xibeiwang	40.0472938	116.2579173
141	Beijing	Haidian	Sujiatuo	40.0786841	116.1513624
142	Beijing	Haidian	Shangzhuang	40.0952547	116.2092536
