	City	Borough	Neighborhood	Latitude	Longitude
0	Toronto	North York	Parkwoods	43.7587999	-79.3201966
1	Toronto	North York	Victoria Village	43.732658	-79.3111892
2	Toronto	Downtown Toronto	Harbourfront	43.6400801	-79.3801495
3	Toronto	North York	Lawrence Heights	43.7227784	-79.4509332
4	Toronto	North York	Lawrence Manor	43.7220788	-79.4375067
5	Toronto	Downtown Toronto	Queen's Park	43.663217	-79.38629
6	Toronto	Etobicoke	Islington Avenue	43.6225748	-79.5142154
7	Toronto	Scarborough	Rouge	43.8049304	-79.1658374
8	Toronto	Scarborough	Malvern	43.8091955	-79.2217008
9	Toronto	North York	Don Mills North	43.775347	-79.3459439
10	Toronto	East York	Woodbine Gardens	43.7120785	-79.3025673
11	Toronto	East York	Parkview Hill	43.7062977	-79.3219073
12	Toronto	Downtown Toronto	Ryerson	43.65846945	-79.37899327245886
13	Toronto	Downtown Toronto	Garden District	43.6523481	-79.3789918
14	Toronto	North York	Glencairn	43.7087117	-79.4406853
15	Toronto	Etobicoke	Cloverdale	43.633637	-79.5497447
16	Toronto	Etobicoke	Islington	43.645335	-79.5248163
17	Toronto	Etobicoke	Martin Grove	43.671459150000004	-79.55249206611668
18	Toronto	Etobicoke	Princess Gardens	43.675749350000004	-79.55285510988261
19	Toronto	Etobicoke	West Deane Park	43.6631995	-79.5685684
20	Toronto	Scarborough	Highland Creek	43.7901172	-79.1733344
21	Toronto	Scarborough	Rouge Hill	43.7802711	-79.1304992
22	Toronto	Scarborough	Port Union	43.7755039	-79.1349765
23	Toronto	North York	Flemingdon Park	43.7184315	-79.333204
24	Toronto	North York	Don Mills South	43.775347	-79.3459439
25	Toronto	East York	Woodbine Heights	43.6999302	-79.3191316
26	Toronto	Downtown Toronto	St. James Town	43.6694032	-79.3727041
27	Toronto	Etobicoke	Bloordale Gardens	43.6353169	-79.5636744
28	Toronto	Etobicoke	Eringate	43.6622732	-79.5765162
29	Toronto	Etobicoke	Markland Wood	43.63123865	-79.58543401986114
